sku,category,name,format,price_gross_clp
PRO-001,Proteínas,Costillas Baby Back,1 kg,12990
PRO-002,Proteínas,Costillas St. Louis,1 kg,12990
PRO-003,Proteínas,Pechuga deshuesada sin piel sazonada,1 kg,8490
PRO-004,Proteínas,Tuto entero sazonado,1 kg,7490
PRO-005,Proteínas,Pulled pork,1 kg,8990
VER-006,Verduras,Tomate cubo,1 kg,2446
VER-007,Verduras,Tomate rondell,1 kg,2446
VER-008,Verduras,Palta cruda,1 kg,4828
VER-009,Verduras,Palta molida,1 kg,7777
VER-010,Verduras,Ají,1 kg,7551
VER-011,Verduras,Ají rondell,1 kg,7551
VER-012,Verduras,Cebolla pluma,1 kg,2242
VER-013,Verduras,Cebolla picada,1 kg,2242
VER-014,Verduras,Cebolla morada pluma,1 kg,2446
VER-015,Verduras,Cebolla morada picada,1 kg,2446
VER-016,Verduras,Papa cubo,1 kg,1629
VER-017,Verduras,Papa bastón,1 kg,1629
VER-018,Verduras,Papa rondell,1 kg,1629
VER-019,Verduras,Betarraga rallada,1 kg,2085
VER-020,Verduras,Betarraga cubo,1 kg,2085
VER-021,Verduras,Zanahoria rallada,1 kg,2095
VER-022,Verduras,Zanahoria cubo,1 kg,2095
VER-023,Verduras,Zanahoria rondell,1 kg,2095
VER-024,Verduras,Repollo morado picado,1 kg,6122
VER-025,Verduras,Apio media luna,1 kg,
ENC-026,Encurtidos,Ají encurtido,1 kg,13078
ENC-027,Encurtidos,Cebolla encurtida,1 kg,13078
ENC-028,Encurtidos,Repollo morado encurtido,1 kg,13078
SAL-029,Salsas,Chimichurri,1 kg,9508
SAL-030,Salsas,BBQ,1 kg,7990
SAL-031,Salsas,Mostaza miel,1 kg,7128
SAL-032,Salsas,Mayonesa tradicional,1 kg,5938
SAL-033,Salsas,Mayonesa ajo,1 kg,5938
